pc,direct_bias,weat,mean_displacement,neighbor_stability_at_10,delta_direct_bias,delta_weat,delta_mean_displacement,delta_neighbor_stability
1,3.671108556035918e-17,1.4623853509696387,0.5883527087155023,0.9320000000000002,-0.0842077722452461,-0.03166141023982272,0.5883527087155023,-0.06799999999999984
2,0.08445342132984615,1.430532209996245,0.3262636093747142,0.94845,0.0002456490846000081,-0.06351455121321647,0.3262636093747142,-0.051549999999999985
3,0.08449598042798553,1.4725474591118952,0.37704209255289517,0.94305,0.0002882081827393912,-0.02149930209756623,0.37704209255289517,-0.056949999999999945
4,0.08433694922614207,1.369602798548253,0.31944696158423974,0.9513,0.00012917698089592866,-0.12444396266120838,0.31944696158423974,-0.048699999999999966
5,0.08512657546647173,1.5549897556914565,0.37526678976619127,0.9437000000000001,0.0009188032212255892,0.06094299448199503,0.37526678976619127,-0.056299999999999906
6,0.08463398044375783,1.4582746958644053,0.33476285030749137,0.9473000000000001,0.00042620819851169056,-0.03577206534505617,0.33476285030749137,-0.05269999999999986
7,0.08444444701786373,1.511830893224075,0.34443502613478033,0.95215,0.00023667477261758718,0.017784132014613485,0.34443502613478033,-0.04784999999999995
8,0.0843144530042561,1.4864941116400003,0.35954356711659863,0.9480000000000001,0.00010668075900996388,-0.007552649569461112,0.35954356711659863,-0.051999999999999935
9,0.08432904823583366,1.5291785441593049,0.3294222182952414,0.9511000000000002,0.00012127599058751881,0.035131782949843426,0.3294222182952414,-0.04889999999999983
10,0.08443231710579878,1.4832754646576163,0.32863834804068903,0.9504000000000001,0.00022454486055263623,-0.010771296551845166,0.32863834804068903,-0.049599999999999866
