k,direct_bias,weat_score,mean_displacement,neighbor_stability_at_10,cumulative_explained_variance,incremental_explained_variance
0,0.11422610920853912,1.5604810244573335,0.0,1.0,0.0,0.0
1,0.00810063658573199,1.3892267188114908,0.37010637218168396,0.7333496772835009,0.4817059338092804,0.4817059338092804
2,0.00819669025222538,1.4165162736162638,0.7544660188772235,0.7042722902097902,0.5970728397369385,0.11536689102649689
3,0.00783184077590704,1.2077515099499134,0.8654760810613332,0.7055327485014986,0.6807750463485718,0.0837021991610527
4,0.007116599837900139,1.2729510779241997,0.9595868086603557,0.7002421598009834,0.7401449084281921,0.05936986953020096
5,0.007056038719019853,1.1394857382127934,1.042753756263833,0.6848304881393117,0.7937448024749756,0.053599923849105835
6,0.006869563581858529,0.9662443238113008,1.1268763744904484,0.671115342990343,0.8359716534614563,0.04222685098648071
7,0.007026313967071473,0.7126274139448872,1.2181468694174453,0.6504745254745254,0.8701393008232117,0.03416763246059418
8,0.004479972430272028,0.89040201292753,1.2914934566008056,0.6556672494172493,0.8977465629577637,0.027607260271906853
9,0.0032807127659907564,1.1121155721560179,1.3626556173576934,0.645739676989677,0.9203152656555176,0.022568702697753906
10,0.0031313018960645424,1.1398969388708025,1.4250326948224998,0.638585372960373,0.9390184283256531,0.018703149631619453
