pcs_removed,direct_bias,mvd,weat_score,semantic_geometry
0,0.05206645824635621,2.9043578e-08,1.0559393,0.6971897408681882
1,1.2531625151208231e-09,0.047531217,1.100156,0.6972569897354532
2,2.0590130589241696e-09,0.24535519,1.2969962,0.6873408509812181
3,2.6269511960034035e-09,0.26473165,1.1016606,0.6832474001541207
4,2.7596197187855843e-09,0.28401563,1.101691,0.6801116659539369
5,2.6847096538072657e-09,0.29474604,1.11949,0.6827889347527452
6,3.3046652641579783e-09,0.3017274,1.0252134,0.6819730818620502
7,2.8187040240074125e-09,0.30736852,0.98089635,0.6798333947790467
8,3.9062408100244e-09,0.31609294,0.9366235,0.6803218698169299
9,4.265391178562457e-09,0.32454264,0.83554673,0.6846112017259598
10,3.96925798006563e-09,0.33132532,0.8388514,0.684178244515616
