pcs_removed,direct_bias,mvd,weat_score,semantic_geometry
0,0.04554193426650679,2.4053403e-08,1.2631967,0.6941224810339758
1,1.5447123889473364e-09,0.044034813,1.4134612,0.692765011994218
2,2.103725648024135e-09,0.07078363,1.5756438,0.690156432313694
3,2.5483856080921185e-09,0.096021414,1.4213129,0.6917389333344754
4,2.1410548688583635e-09,0.117643,1.4310321,0.6891264351866201
5,2.2308876212930732e-09,0.13423157,1.4506038,0.6900048715951315
6,2.3092648438437226e-09,0.14710423,1.533101,0.6888899276941263
7,2.9474123865516622e-09,0.15799633,1.6307971,0.6893611233907102
8,3.0842301531729815e-09,0.1702385,1.6137143,0.6866545820269047
9,2.8787706884102204e-09,0.17930207,1.5007913,0.6848620231681153
10,3.5967825509630736e-09,0.1913615,1.5514405,0.6834533341625276
